coin_name,website,ip,org,city,country,region,loc,postal,timezone,ip_location_error,hostname,anycast
Bitcoin,https://bitcoin.org,138.68.248.245,"AS14061 DigitalOcean, LLC",Santa Clara,US,California,"37.3483,-121.9844",95051,America/Los_Angeles,Error,,
Ethereum,https://ethereum.org,54.94.70.35,"AS16509 Amazon.com, Inc.",São Paulo,BR,São Paulo,"-23.5475,-46.6361",01000-000,America/Sao_Paulo,Error,ec2-54-94-70-35.sa-east-1.compute.amazonaws.com,
Litecoin,https://litecoin.org,172.67.82.181,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Bitcoin Cash,https://www.bitcoincash.org,35.208.63.54,AS15169 Google LLC,Council Bluffs,US,Iowa,"41.2619,-95.8608",51502,America/Chicago,Error,54.63.208.35.bc.googleusercontent.com,
Dogecoin,http://dogecoin.com,185.199.108.153,AS54113 Fastly,San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,,cdn-185-199-108-153.github.com,True
Bitcoin SV,https://bitcoinsv.io,104.21.90.83,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Monero,https://getmonero.org,104.22.11.221,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Dash,https://www.dash.org,104.21.4.100,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Decred,https://decred.org,165.22.30.170,"AS14061 DigitalOcean, LLC",Frankfurt am Main,DE,Hesse,"50.1155,8.6842",60311,Europe/Berlin,Error,,
Zilliqa,https://www.zilliqa.com,104.26.8.22,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Ravencoin,https://ravencoin.org,104.21.8.23,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Ethereum Classic,http://ethereumclassic.org,172.67.68.203,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Zcash,https://z.cash,104.16.174.83,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Siacoin,http://sia.tech,45.79.157.235,"AS63949 Linode, LLC",Morris Plains,US,New Jersey,"40.8223,-74.4569",07927,America/New_York,Error,li1256-235.members.linode.com,
DigiByte,http://www.digibyte.io,149.248.15.85,"AS20473 The Constant Company, LLC",Los Angeles,US,California,"34.0522,-118.2437",90009,America/Los_Angeles,Error,149.248.15.85.vultr.com,
DigiByte,http://www.digibyte.io,149.248.15.85,"AS20473 The Constant Company, LLC",Los Angeles,US,California,"34.0522,-118.2437",90009,America/Los_Angeles,Error,149.248.15.85.vultr.com,
DigiByte,http://www.digibyte.io,149.248.15.85,"AS20473 The Constant Company, LLC",Los Angeles,US,California,"34.0522,-118.2437",90009,America/Los_Angeles,Error,149.248.15.85.vultr.com,
DigiByte,http://www.digibyte.io,149.248.15.85,"AS20473 The Constant Company, LLC",Los Angeles,US,California,"34.0522,-118.2437",90009,America/Los_Angeles,Error,149.248.15.85.vultr.com,
